Model,F1 Score,hamming_loss_score
BR_DecisionTreeClassifier,0.4593458375584105,0.2758674815995265
BR_GaussianNB,0.48223943384192075,0.25341928135678626
BR_KNeighborsClassifier,0.5963182538115465,0.18403890642901846
BR_LinearSVC,0.4766145489676994,0.20651886385949053
BR_LogisticRegression,0.42250249396277084,0.2133144096552248
BR_RandomForestClassifier,0.48957717667437856,0.1894326920577538
CC_DecisionTreeClassifier,0.4303813480527493,0.28572757101752966
CC_GaussianNB,0.40303495791853666,0.39273524962859135
CC_KNeighborsClassifier,0.5704634622205322,0.20629537883680613
CC_LinearSVC,0.49255005109816236,0.24897195539897185
CC_LogisticRegression,0.46667587460460946,0.2671341075095527
CC_RandomForestClassifier,0.5526093478296636,0.20597251576112274
LP_DecisionTreeClassifier,0.43836059984982645,0.2799398522963351
LP_GaussianNB,0.6984204491366798,0.15513937071480416
LP_KNeighborsClassifier,0.541547661577982,0.1983030374527866
LP_LinearSVC,0.8250995146711901,0.08284111108667268
LP_LogisticRegression,0.15247493506576199,0.25948939810806537
LP_RandomForestClassifier,0.5230275699849332,0.18469641218260308
