Model,F1 Score,hamming_loss_score
BR_DecisionTreeClassifier,0.7355622540744053,0.13220968141837108
BR_GaussianNB,0.46192552767687617,0.36377596611233637
BR_KNeighborsClassifier,0.6125163937447728,0.17513827348472275
BR_LinearSVC,0.4973336264279382,0.20252097733957447
BR_LogisticRegression,0.49406340537661536,0.20366237405598225
BR_RandomForestClassifier,0.7977026477249229,0.0910222735207139
CC_DecisionTreeClassifier,0.6958960599004815,0.15281945641372224
CC_GaussianNB,0.4455687295602481,0.4320832525198801
CC_KNeighborsClassifier,0.5983156571221308,0.1963057637821096
CC_LinearSVC,0.510225176882526,0.23991227907934648
CC_LogisticRegression,0.5008405224144453,0.24399700173757255
CC_RandomForestClassifier,0.7992236071220786,0.0970483985939459
LP_DecisionTreeClassifier,0.8214206384390887,0.08916415561771804
LP_GaussianNB,0.5325053743192966,0.2590643751637097
LP_KNeighborsClassifier,0.5671137956190846,0.19124133213229547
LP_LinearSVC,0.7987312526907712,0.10047546053670797
LP_LogisticRegression,0.6388322141066355,0.15288770712404748
LP_RandomForestClassifier,0.8835546127189492,0.05773093319043515
