Fold,Model,Base_Model,Method,F1 Score,hamming_loss_score,Best_Model
3,BR_LinearSVC,LinearSVC,Binary Relevance,0.5034137460172963,0.20303970223325063,LP_RandomForestClassifier
3,BR_LogisticRegression,LogisticRegression,Binary Relevance,0.4959987805807484,0.2051178660049628,LP_RandomForestClassifier
3,BR_GaussianNB,GaussianNB,Binary Relevance,0.4696837162193269,0.35728908188585606,LP_RandomForestClassifier
3,CC_GaussianNB,GaussianNB,Classifier Chains,0.4558232132191917,0.42391439205955334,LP_RandomForestClassifier
4,LP_RandomForestClassifier,RandomForestClassifier,Label Powerset,0.875590164939604,0.06293424317617866,LP_RandomForestClassifier
4,LP_DecisionTreeClassifier,DecisionTreeClassifier,Label Powerset,0.8187935886455402,0.09187344913151364,LP_RandomForestClassifier
4,BR_RandomForestClassifier,RandomForestClassifier,Binary Relevance,0.7981322325235163,0.09252481389578164,LP_RandomForestClassifier
4,CC_RandomForestClassifier,RandomForestClassifier,Classifier Chains,0.7939743021710235,0.10096153846153846,LP_RandomForestClassifier
4,LP_LinearSVC,LinearSVC,Label Powerset,0.7875138257343001,0.10725806451612903,LP_RandomForestClassifier
4,BR_DecisionTreeClassifier,DecisionTreeClassifier,Binary Relevance,0.7396959150027478,0.132227047146402,LP_RandomForestClassifier
4,CC_DecisionTreeClassifier,DecisionTreeClassifier,Classifier Chains,0.6944274341702388,0.15477667493796526,LP_RandomForestClassifier
4,LP_LogisticRegression,LogisticRegression,Label Powerset,0.6330997616123673,0.15753722084367244,LP_RandomForestClassifier
4,BR_KNeighborsClassifier,KNeighborsClassifier,Binary Relevance,0.6084173249795696,0.1783498759305211,LP_RandomForestClassifier
4,CC_KNeighborsClassifier,KNeighborsClassifier,Classifier Chains,0.5946355317134743,0.19922456575682382,LP_RandomForestClassifier
4,LP_KNeighborsClassifier,KNeighborsClassifier,Label Powerset,0.5617665439900007,0.19575062034739454,LP_RandomForestClassifier
4,LP_GaussianNB,GaussianNB,Label Powerset,0.544404093760317,0.25682382133995035,LP_RandomForestClassifier
4,CC_LinearSVC,LinearSVC,Classifier Chains,0.4947972504256795,0.2484801488833747,LP_RandomForestClassifier
4,CC_LogisticRegression,LogisticRegression,Classifier Chains,0.4868528396611233,0.2536290322580645,LP_RandomForestClassifier
4,BR_LinearSVC,LinearSVC,Binary Relevance,0.4864864864864865,0.209212158808933,LP_RandomForestClassifier
4,BR_LogisticRegression,LogisticRegression,Binary Relevance,0.4835548803646031,0.21088709677419354,LP_RandomForestClassifier
4,BR_GaussianNB,GaussianNB,Binary Relevance,0.4639297796470696,0.36370967741935484,LP_RandomForestClassifier
4,CC_GaussianNB,GaussianNB,Classifier Chains,0.4413002525151309,0.4323511166253102,LP_RandomForestClassifier
5,LP_RandomForestClassifier,RandomForestClassifier,Label Powerset,0.8810490165469872,0.059088089330024816,LP_RandomForestClassifier
5,LP_DecisionTreeClassifier,DecisionTreeClassifier,Label Powerset,0.8236389595878081,0.08812034739454094,LP_RandomForestClassifier
5,LP_LinearSVC,LinearSVC,Label Powerset,0.8031661616473935,0.09872828784119107,LP_RandomForestClassifier
5,CC_RandomForestClassifier,RandomForestClassifier,Classifier Chains,0.795314825600207,0.09810794044665012,LP_RandomForestClassifier
