Model,F1 Score,hamming_loss_score
BR_DecisionTreeClassifier,0.5057128892413271,0.25060288918925944
BR_GaussianNB,0.4928682051096632,0.26495699557908753
BR_KNeighborsClassifier,0.6875016525823485,0.1445598882674862
BR_LinearSVC,0.4588112010884883,0.20627398909868172
BR_LogisticRegression,0.3655645219159814,0.22164191858802734
BR_RandomForestClassifier,0.5798930418887158,0.1630232387832593
CC_DecisionTreeClassifier,0.4748147711878815,0.2646993489601558
CC_GaussianNB,0.4116865973789398,0.3848358703758875
CC_KNeighborsClassifier,0.6725582592568895,0.1597011485174647
CC_LinearSVC,0.4796191319366135,0.2526716127832553
CC_LogisticRegression,0.4552537354173566,0.2872628533380788
CC_RandomForestClassifier,0.629034325034139,0.1714372414386061
LP_DecisionTreeClassifier,0.49343482531350735,0.2532400554463602
LP_GaussianNB,0.750125705275791,0.13358412580505194
LP_KNeighborsClassifier,0.6581380997294431,0.15499982254365427
LP_LinearSVC,0.7189686755320884,0.12339311779302291
LP_LogisticRegression,0.06320124426402028,0.2733344422272121
LP_RandomForestClassifier,0.7019645442564209,0.12817455156031615
