Model,F1 Score,hamming_loss_score
BR_DecisionTreeClassifier,0.4711610895585768,0.2691344704202766
BR_GaussianNB,0.4763016885257178,0.26388077282988387
BR_KNeighborsClassifier,0.6240594236959404,0.1740585740907737
BR_LinearSVC,0.517939156046415,0.19781591228557777
BR_LogisticRegression,0.4983975610394518,0.20077482939196956
BR_RandomForestClassifier,0.5146176616827318,0.18239849746962247
CC_DecisionTreeClassifier,0.4407639023269014,0.28131395926602054
CC_GaussianNB,0.4002546257412824,0.39183915506785333
CC_KNeighborsClassifier,0.5996813427568088,0.1967801095930401
CC_LinearSVC,0.5232747048879964,0.23122205937339416
CC_LogisticRegression,0.5016816898142541,0.2400487655036861
CC_RandomForestClassifier,0.5690643808550304,0.19703422208136798
LP_DecisionTreeClassifier,0.4467319715473847,0.2759517508692862
LP_GaussianNB,0.6794474088612646,0.16799169404326536
LP_KNeighborsClassifier,0.5767412490502319,0.18904794670511055
LP_LinearSVC,0.8895279005978918,0.055057875762562415
LP_LogisticRegression,0.5843475642782594,0.16633264466941133
LP_RandomForestClassifier,0.5664712774005107,0.17332957342493746
