Fold,Model,Accuracy,F1 Score,hamming_loss_score,Best_Model
1,CalibratedClassifierCV,0.9685737308622079,0.9681895135704798,0.031426269137792104,CalibratedClassifierCV
1,LinearSVC,0.9653505237711523,0.9653165865650829,0.0346494762288477,CalibratedClassifierCV
1,LogisticRegression,0.9621273166800967,0.962089745648331,0.0378726833199033,CalibratedClassifierCV
1,LinearDiscriminantAnalysis,0.959709911361805,0.9596007725415798,0.040290088638195005,CalibratedClassifierCV
1,SVC,0.9572925060435133,0.957342167209142,0.0427074939564867,CalibratedClassifierCV
1,PassiveAggressiveClassifier,0.9540692989524577,0.9546908625517466,0.04593070104754231,CalibratedClassifierCV
1,SGDClassifier,0.9476228847703465,0.9482680696573502,0.052377115229653506,CalibratedClassifierCV
1,RidgeClassifier,0.9419822723609992,0.9403726645454724,0.05801772763900081,CalibratedClassifierCV
1,RidgeClassifierCV,0.9419822723609992,0.9403726645454724,0.05801772763900081,CalibratedClassifierCV
1,Perceptron,0.935535858178888,0.9394564396956882,0.064464141821112,CalibratedClassifierCV
1,XGBClassifier,0.9129734085414988,0.9135650837743141,0.08702659145850121,CalibratedClassifierCV
1,NearestCentroid,0.8597904915390814,0.8661514472972148,0.14020950846091862,CalibratedClassifierCV
1,GaussianNB,0.879129734085415,0.8793573193561157,0.12087026591458501,CalibratedClassifierCV
1,QuadraticDiscriminantAnalysis,0.879129734085415,0.8788312901768224,0.12087026591458501,CalibratedClassifierCV
1,RandomForestClassifier,0.8734891216760677,0.8738399234909955,0.12651087832393232,CalibratedClassifierCV
1,ExtraTreesClassifier,0.8702659145850121,0.8697984759735867,0.1297340854149879,CalibratedClassifierCV
1,BernoulliNB,0.8299758259468171,0.8335352648157214,0.17002417405318293,CalibratedClassifierCV
1,BaggingClassifier,0.7647058823529411,0.7650055231721625,0.23529411764705882,CalibratedClassifierCV
1,KNeighborsClassifier,0.7590652699435939,0.7679594987853362,0.24093473005640612,CalibratedClassifierCV
1,DecisionTreeClassifier,0.5705076551168412,0.571445275292513,0.42949234488315874,CalibratedClassifierCV
1,ExtraTreeClassifier,0.41821112006446415,0.42162080188133033,0.5817888799355359,CalibratedClassifierCV
1,LGBMClassifier,0.2731668009669621,0.2693143867175559,0.7268331990330379,CalibratedClassifierCV
1,AdaBoostClassifier,0.24818694601128122,0.19856250790468508,0.7518130539887188,CalibratedClassifierCV
1,LabelSpreading,0.06124093473005641,0.05969682422412664,0.9387590652699436,CalibratedClassifierCV
1,LabelPropagation,0.06124093473005641,0.05969682422412664,0.9387590652699436,CalibratedClassifierCV
1,DummyClassifier,0.0249798549556809,0.0012175715465819307,0.9750201450443191,CalibratedClassifierCV
2,LogisticRegression,0.9637096774193549,0.9636688556319182,0.036290322580645164,LogisticRegression
2,CalibratedClassifierCV,0.9620967741935483,0.9616402766531161,0.03790322580645161,LogisticRegression
2,LinearSVC,0.9556451612903226,0.9554920277271485,0.04435483870967742,LogisticRegression
2,PassiveAggressiveClassifier,0.9491935483870968,0.9515158821413948,0.050806451612903224,LogisticRegression
2,LinearDiscriminantAnalysis,0.95,0.9507423980249572,0.05,LogisticRegression
2,SVC,0.9451612903225807,0.9455162334424064,0.054838709677419356,LogisticRegression
2,RidgeClassifierCV,0.9387096774193548,0.9374116555045213,0.06129032258064516,LogisticRegression
2,RidgeClassifier,0.9387096774193548,0.9374116555045213,0.06129032258064516,LogisticRegression
2,SGDClassifier,0.9370967741935484,0.9372666845459783,0.06290322580645161,LogisticRegression
2,Perceptron,0.9354838709677419,0.9366099551590689,0.06451612903225806,LogisticRegression
2,XGBClassifier,0.8959677419354839,0.8966433414103617,0.10403225806451613,LogisticRegression
2,GaussianNB,0.8701612903225806,0.871627028727939,0.12983870967741937,LogisticRegression
2,RandomForestClassifier,0.8653225806451613,0.8658014480051397,0.1346774193548387,LogisticRegression
2,ExtraTreesClassifier,0.8572580645161291,0.8573123883347984,0.14274193548387096,LogisticRegression
2,NearestCentroid,0.853225806451613,0.863916258601776,0.14677419354838708,LogisticRegression
2,QuadraticDiscriminantAnalysis,0.8443548387096774,0.8452374772777324,0.15564516129032258,LogisticRegression
2,BernoulliNB,0.8241935483870968,0.8257247046611856,0.17580645161290323,LogisticRegression
2,BaggingClassifier,0.7475806451612903,0.7490947799366281,0.2524193548387097,LogisticRegression
2,KNeighborsClassifier,0.7290322580645161,0.7462349552830729,0.2709677419354839,LogisticRegression
2,DecisionTreeClassifier,0.5338709677419354,0.5367490341767657,0.4661290322580645,LogisticRegression
2,ExtraTreeClassifier,0.4403225806451613,0.4423545551955748,0.5596774193548387,LogisticRegression
2,LGBMClassifier,0.2153225806451613,0.21050969925078372,0.7846774193548387,LogisticRegression
2,AdaBoostClassifier,0.21854838709677418,0.1998868103755203,0.7814516129032258,LogisticRegression
2,LabelSpreading,0.0532258064516129,0.04882999588171769,0.9467741935483871,LogisticRegression
2,LabelPropagation,0.0532258064516129,0.04882999588171769,0.9467741935483871,LogisticRegression
2,DummyClassifier,0.01935483870967742,0.0007349938750510413,0.9806451612903225,LogisticRegression
3,LinearDiscriminantAnalysis,0.9588709677419355,0.9587318878922252,0.04112903225806452,LogisticRegression
3,LogisticRegression,0.9653225806451613,0.9641009746184587,0.03467741935483871,LogisticRegression
3,CalibratedClassifierCV,0.9629032258064516,0.9618426725661515,0.037096774193548385,LogisticRegression
3,LinearSVC,0.9604838709677419,0.9601242377606292,0.03951612903225806,LogisticRegression
3,SVC,0.9556451612903226,0.9546728800656924,0.04435483870967742,LogisticRegression
