Fold,Model,Accuracy,F1 Score,hamming_loss_score,Best_Model
1,LogisticRegression,0.9806607574536664,0.9805675468555035,0.019339242546333603,LogisticRegression
1,SVC,0.9782433521353747,0.9778901179177752,0.021756647864625302,LogisticRegression
1,CalibratedClassifierCV,0.975825946817083,0.9755158497680761,0.024174053182917002,LogisticRegression
1,LinearSVC,0.9717969379532635,0.9717107322867722,0.028203062046736505,LogisticRegression
1,PassiveAggressiveClassifier,0.9709911361804996,0.9712509286735811,0.029008863819500404,LogisticRegression
1,LinearDiscriminantAnalysis,0.9693795326349718,0.9702275205554105,0.030620467365028204,LogisticRegression
1,SGDClassifier,0.9653505237711523,0.9657288586430526,0.0346494762288477,LogisticRegression
1,Perceptron,0.9629331184528606,0.9633916614457106,0.037066881547139406,LogisticRegression
1,RidgeClassifierCV,0.9524576954069299,0.9509838411694733,0.04754230459307011,LogisticRegression
1,RidgeClassifier,0.9524576954069299,0.9509838411694733,0.04754230459307011,LogisticRegression
1,NearestCentroid,0.9178082191780822,0.9210456631654853,0.0821917808219178,LogisticRegression
1,XGBClassifier,0.9307010475423045,0.9304398027372348,0.0692989524576954,LogisticRegression
1,GaussianNB,0.9266720386784851,0.9271527787762022,0.07332796132151491,LogisticRegression
1,ExtraTreesClassifier,0.9258662369057212,0.9245877868230633,0.07413376309427881,LogisticRegression
1,RandomForestClassifier,0.9258662369057212,0.9252904291788908,0.07413376309427881,LogisticRegression
1,QuadraticDiscriminantAnalysis,0.8896051571313457,0.8882178724194593,0.11039484286865431,LogisticRegression
1,BernoulliNB,0.8896051571313457,0.8922249918540925,0.11039484286865431,LogisticRegression
1,KNeighborsClassifier,0.8178887993553586,0.8247631344331221,0.18211120064464142,LogisticRegression
1,BaggingClassifier,0.7784045124899275,0.7778950632514635,0.22159548751007252,LogisticRegression
1,DecisionTreeClassifier,0.5906526994359388,0.5931809419078089,0.40934730056406127,LogisticRegression
1,ExtraTreeClassifier,0.43029814665592264,0.4306264446498905,0.5697018533440773,LogisticRegression
1,LGBMClassifier,0.21837228041901693,0.20486815570277375,0.7816277195809831,LogisticRegression
1,AdaBoostClassifier,0.052377115229653506,0.010982670669714797,0.9476228847703465,LogisticRegression
1,LabelSpreading,0.055600322320709106,0.049379181901749856,0.9443996776792909,LogisticRegression
1,LabelPropagation,0.055600322320709106,0.049379181901749856,0.9443996776792909,LogisticRegression
1,DummyClassifier,0.0249798549556809,0.0012175715465819307,0.9750201450443191,LogisticRegression
2,LogisticRegression,0.9733870967741935,0.9732716015065874,0.02661290322580645,LogisticRegression
2,CalibratedClassifierCV,0.9717741935483871,0.9716907709817995,0.028225806451612902,LogisticRegression
2,LinearSVC,0.9709677419354839,0.9706820711194166,0.02903225806451613,LogisticRegression
2,SVC,0.9661290322580646,0.9663654932417108,0.03387096774193549,LogisticRegression
2,PassiveAggressiveClassifier,0.9629032258064516,0.9633707479464476,0.037096774193548385,LogisticRegression
