Fold,Model,Accuracy,F1 Score,hamming_loss_score,Best_Model
1,LogisticRegression,0.9637389202256245,0.9635904736737193,0.0362610797743755,LogisticRegression
1,CalibratedClassifierCV,0.9532634971796938,0.9528026233693326,0.046736502820306204,LogisticRegression
1,LinearDiscriminantAnalysis,0.9524576954069299,0.9523595662358647,0.04754230459307011,LogisticRegression
1,LinearSVC,0.9508460918614021,0.9512226670587798,0.04915390813859791,LogisticRegression
1,SVC,0.9484286865431104,0.948839512016816,0.0515713134568896,LogisticRegression
1,PassiveAggressiveClassifier,0.9387590652699436,0.9404128966751558,0.06124093473005641,LogisticRegression
1,SGDClassifier,0.9379532634971797,0.9387340885409347,0.062046736502820304,LogisticRegression
1,RidgeClassifier,0.9371474617244158,0.9360363866768207,0.06285253827558421,LogisticRegression
1,RidgeClassifierCV,0.9371474617244158,0.9360363866768207,0.06285253827558421,LogisticRegression
1,Perceptron,0.9226430298146656,0.9245341176741948,0.07735697018533441,LogisticRegression
1,XGBClassifier,0.887187751813054,0.8875149800503246,0.11281224818694602,LogisticRegression
1,QuadraticDiscriminantAnalysis,0.8517324738114423,0.8529670534469621,0.14826752618855762,LogisticRegression
1,NearestCentroid,0.8106365834004835,0.8261510371968871,0.18936341659951653,LogisticRegression
1,RandomForestClassifier,0.8364222401289283,0.8358806318683688,0.1635777598710717,LogisticRegression
1,GaussianNB,0.8372280419016922,0.8395086063726639,0.16277195809830783,LogisticRegression
1,ExtraTreesClassifier,0.821917808219178,0.8237133929564753,0.1780821917808219,LogisticRegression
1,BernoulliNB,0.7759871071716358,0.7785149390464522,0.22401289282836423,LogisticRegression
1,BaggingClassifier,0.7074939564867043,0.7072257437796889,0.29250604351329573,LogisticRegression
1,KNeighborsClassifier,0.6518936341659952,0.6643941578972119,0.34810636583400484,LogisticRegression
1,DecisionTreeClassifier,0.49959709911361805,0.49977660871757207,0.500402900886382,LogisticRegression
1,ExtraTreeClassifier,0.33682514101531025,0.33711117943912283,0.6631748589846898,LogisticRegression
1,LGBMClassifier,0.12409347300564061,0.13109700085561268,0.8759065269943593,LogisticRegression
1,AdaBoostClassifier,0.07977437550362611,0.02503285282697284,0.9202256244963739,LogisticRegression
1,LabelSpreading,0.05962933118452861,0.05623679441455604,0.9403706688154714,LogisticRegression
1,LabelPropagation,0.05962933118452861,0.05623679441455604,0.9403706688154714,LogisticRegression
1,DummyClassifier,0.0249798549556809,0.0012175715465819307,0.9750201450443191,LogisticRegression
2,LogisticRegression,0.9548387096774194,0.9555608085250598,0.04516129032258064,CalibratedClassifierCV
2,CalibratedClassifierCV,0.9564516129032258,0.9566634965236392,0.043548387096774194,CalibratedClassifierCV
2,LinearSVC,0.9564516129032258,0.9571847471944176,0.043548387096774194,CalibratedClassifierCV
2,LinearDiscriminantAnalysis,0.9451612903225807,0.9458847679221437,0.054838709677419356,CalibratedClassifierCV
2,PassiveAggressiveClassifier,0.9395161290322581,0.9414893211524299,0.06048387096774194,CalibratedClassifierCV
2,RidgeClassifier,0.9346774193548387,0.9336031219082038,0.06532258064516129,CalibratedClassifierCV
2,RidgeClassifierCV,0.9346774193548387,0.9336031219082038,0.06532258064516129,CalibratedClassifierCV
2,SVC,0.9290322580645162,0.9293948601816073,0.07096774193548387,CalibratedClassifierCV
2,SGDClassifier,0.9282258064516129,0.9290541832169019,0.0717741935483871,CalibratedClassifierCV
2,Perceptron,0.9258064516129032,0.9294773736335956,0.07419354838709677,CalibratedClassifierCV
2,XGBClassifier,0.8556451612903225,0.8563728305477929,0.1443548387096774,CalibratedClassifierCV
2,QuadraticDiscriminantAnalysis,0.832258064516129,0.8355039428070794,0.16774193548387098,CalibratedClassifierCV
2,GaussianNB,0.8225806451612904,0.8265121458211827,0.1774193548387097,CalibratedClassifierCV
2,RandomForestClassifier,0.8193548387096774,0.81996438961659,0.18064516129032257,CalibratedClassifierCV
2,ExtraTreesClassifier,0.8016129032258065,0.8015267563481604,0.19838709677419356,CalibratedClassifierCV
2,NearestCentroid,0.7959677419354839,0.8133224741808934,0.20403225806451614,CalibratedClassifierCV
2,BernoulliNB,0.7774193548387097,0.7825857040171316,0.22258064516129034,CalibratedClassifierCV
2,BaggingClassifier,0.6717741935483871,0.6742639384762907,0.3282258064516129,CalibratedClassifierCV
2,KNeighborsClassifier,0.6274193548387097,0.641107977368151,0.3725806451612903,CalibratedClassifierCV
2,DecisionTreeClassifier,0.4870967741935484,0.4905788062931752,0.5129032258064516,CalibratedClassifierCV
2,ExtraTreeClassifier,0.3725806451612903,0.3735820871204102,0.6274193548387097,CalibratedClassifierCV
2,LGBMClassifier,0.24596774193548387,0.24789664429723024,0.7540322580645161,CalibratedClassifierCV
2,AdaBoostClassifier,0.07338709677419354,0.022890780755403402,0.9266129032258065,CalibratedClassifierCV
2,LabelSpreading,0.0532258064516129,0.04882124831893975,0.9467741935483871,CalibratedClassifierCV
2,LabelPropagation,0.0532258064516129,0.04882124831893975,0.9467741935483871,CalibratedClassifierCV
2,DummyClassifier,0.01935483870967742,0.0007349938750510413,0.9806451612903225,CalibratedClassifierCV
3,LogisticRegression,0.9548387096774194,0.9541667698684271,0.04516129032258064,LogisticRegression
3,LinearDiscriminantAnalysis,0.9491935483870968,0.9486625886202522,0.050806451612903224,LogisticRegression
3,CalibratedClassifierCV,0.9491935483870968,0.9483504972640558,0.050806451612903224,LogisticRegression
3,SVC,0.9419354838709677,0.9410546878895933,0.05806451612903226,LogisticRegression
3,LinearSVC,0.9387096774193548,0.9393511741530295,0.06129032258064516,LogisticRegression
