Fold,Model,Accuracy,F1 Score,hamming_loss_score,Best_Model
1,XGBClassifier,0.9854955680902499,0.9850465122205131,0.014504431909750202,XGBClassifier
1,BaggingClassifier,0.9830781627719581,0.9828329481229183,0.016921837228041903,XGBClassifier
1,DecisionTreeClassifier,0.9790491539081386,0.9788961708349554,0.020950846091861403,XGBClassifier
1,ExtraTreesClassifier,0.8928283642224013,0.8919093824183487,0.10717163577759871,XGBClassifier
1,RandomForestClassifier,0.8477034649476228,0.8426364337175503,0.1522965350523771,XGBClassifier
1,LogisticRegression,0.5616438356164384,0.550795386460025,0.4383561643835616,XGBClassifier
1,LinearSVC,0.500402900886382,0.4627917065917832,0.49959709911361805,XGBClassifier
1,LinearDiscriminantAnalysis,0.48509266720386784,0.4666944189943043,0.5149073327961321,XGBClassifier
1,CalibratedClassifierCV,0.47542304593070106,0.44189721522307074,0.5245769540692989,XGBClassifier
1,SVC,0.46091861402095086,0.44813020023491246,0.5390813859790492,XGBClassifier
1,ExtraTreeClassifier,0.46091861402095086,0.4620921965721045,0.5390813859790492,XGBClassifier
1,SGDClassifier,0.44560838033843675,0.4476926721626149,0.5543916196615633,XGBClassifier
1,PassiveAggressiveClassifier,0.37550362610797744,0.36169787668432773,0.6244963738920226,XGBClassifier
1,BernoulliNB,0.35052377115229655,0.32790580679542647,0.6494762288477035,XGBClassifier
1,Perceptron,0.35213537469782435,0.34720659676869126,0.6478646253021757,XGBClassifier
1,NearestCentroid,0.29653505237711525,0.29509381023204867,0.7034649476228848,XGBClassifier
1,RidgeClassifierCV,0.27880741337630943,0.2125935713257985,0.7211925866236906,XGBClassifier
1,RidgeClassifier,0.27800161160354553,0.21203038487694054,0.7219983883964545,XGBClassifier
1,QuadraticDiscriminantAnalysis,0.25221595487510073,0.24805506479653147,0.7477840451248993,XGBClassifier
1,KNeighborsClassifier,0.19742143432715553,0.2041739080251539,0.8025785656728445,XGBClassifier
1,LabelSpreading,0.1845286059629331,0.19093141090229013,0.8154713940370669,XGBClassifier
1,LabelPropagation,0.1845286059629331,0.19093141090229013,0.8154713940370669,XGBClassifier
1,LGBMClassifier,0.09750201450443191,0.09628352447893138,0.9024979854955681,XGBClassifier
1,AdaBoostClassifier,0.0531829170024174,0.029455083879600056,0.9468170829975826,XGBClassifier
1,GaussianNB,0.062046736502820304,0.03967927770925804,0.9379532634971797,XGBClassifier
1,DummyClassifier,0.0249798549556809,0.0012175715465819307,0.9750201450443191,XGBClassifier
2,XGBClassifier,0.9774193548387097,0.9776287444963576,0.02258064516129032,XGBClassifier
2,DecisionTreeClassifier,0.9725806451612903,0.9726108270742312,0.027419354838709678,XGBClassifier
2,BaggingClassifier,0.9717741935483871,0.9721904206782483,0.028225806451612902,XGBClassifier
2,ExtraTreesClassifier,0.8879032258064516,0.8864888296414303,0.11209677419354838,XGBClassifier
2,RandomForestClassifier,0.864516129032258,0.8578230413292242,0.13548387096774195,XGBClassifier
2,LogisticRegression,0.5725806451612904,0.5614328428413318,0.4274193548387097,XGBClassifier
2,LinearSVC,0.510483870967742,0.47193689687961143,0.48951612903225805,XGBClassifier
2,CalibratedClassifierCV,0.48951612903225805,0.45192119729097147,0.510483870967742,XGBClassifier
2,LinearDiscriminantAnalysis,0.4782258064516129,0.4608643903604189,0.521774193548387,XGBClassifier
2,ExtraTreeClassifier,0.4717741935483871,0.47347550190111903,0.5282258064516129,XGBClassifier
2,SVC,0.4620967741935484,0.4496850934101967,0.5379032258064517,XGBClassifier
2,SGDClassifier,0.41774193548387095,0.4194023188206508,0.582258064516129,XGBClassifier
2,BernoulliNB,0.3540322580645161,0.32989590594719675,0.6459677419354839,XGBClassifier
2,Perceptron,0.3379032258064516,0.3384016185109227,0.6620967741935484,XGBClassifier
2,PassiveAggressiveClassifier,0.3395161290322581,0.3378533052101154,0.660483870967742,XGBClassifier
2,NearestCentroid,0.3193548387096774,0.3107594820274585,0.6806451612903226,XGBClassifier
2,RidgeClassifier,0.2653225806451613,0.2039931686839275,0.7346774193548387,XGBClassifier
2,RidgeClassifierCV,0.2653225806451613,0.20401970714625411,0.7346774193548387,XGBClassifier
2,QuadraticDiscriminantAnalysis,0.28225806451612906,0.2557347717858854,0.717741935483871,XGBClassifier
2,KNeighborsClassifier,0.1967741935483871,0.20088353978486212,0.8032258064516129,XGBClassifier
2,LGBMClassifier,0.1879032258064516,0.18343771023084285,0.8120967741935484,XGBClassifier
2,LabelSpreading,0.175,0.1814022053303012,0.825,XGBClassifier
2,LabelPropagation,0.175,0.1814022053303012,0.825,XGBClassifier
2,GaussianNB,0.1346774193548387,0.08911009148401422,0.8653225806451613,XGBClassifier
2,AdaBoostClassifier,0.07338709677419354,0.05441067322477959,0.9266129032258065,XGBClassifier
2,DummyClassifier,0.01935483870967742,0.0007349938750510413,0.9806451612903225,XGBClassifier
3,XGBClassifier,0.9846774193548387,0.9835332675017643,0.01532258064516129,XGBClassifier
3,BaggingClassifier,0.9830645161290322,0.9819378045622945,0.016935483870967744,XGBClassifier
3,DecisionTreeClassifier,0.978225806451613,0.9783236194662535,0.021774193548387097,XGBClassifier
3,ExtraTreesClassifier,0.8935483870967742,0.892666053499486,0.1064516129032258,XGBClassifier
3,RandomForestClassifier,0.8508064516129032,0.8458558723867363,0.14919354838709678,XGBClassifier
3,LogisticRegression,0.5701612903225807,0.5596825589740517,0.42983870967741933,XGBClassifier
3,ExtraTreeClassifier,0.5330645161290323,0.5348811520674234,0.4669354838709677,XGBClassifier
